time,signal,drowsiness,delta,theta,alpha,beta
19:49:18,15,0,8,3,4,34
19:49:19,15,0,8,3,4,42
19:49:19,15,0,15,2,5,55
19:49:20,15,0,17,5,1,34
19:49:21,15,0,16,4,10,41
19:49:21,15,0,13,1,7,18
19:49:22,15,0,7,2,3,36
19:49:22,15,0,9,2,2,25
19:49:23,15,0,6,4,7,31
19:49:24,15,0,24,2,5,33
19:49:24,15,0,11,1,7,45
19:49:25,15,0,7,2,7,42
19:49:26,15,0,11,6,4,39
19:49:26,15,0,8,4,5,40
19:49:27,15,0,5,4,6,26
19:49:28,15,0,28,2,8,24
19:49:28,15,0,16,2,6,42
19:49:29,15,0,13,2,9,58
19:49:29,15,0,14,4,7,31
19:49:30,15,0,22,1,6,32
19:49:31,15,0,5,2,5,29
19:49:31,15,0,4,5,3,25
19:49:32,15,0,27,3,8,25
19:49:33,15,0,26,3,17,35
19:49:33,15,0,19,3,2,36
19:49:34,15,6,18,2,15,17
19:49:34,15,0,11,3,8,30
19:49:35,15,5,14,4,12,21
19:49:36,15,5,10,10,4,31
19:49:36,15,1,23,4,15,32
19:49:37,15,0,14,1,7,42
19:49:38,15,0,18,2,3,45
19:49:38,15,0,19,4,5,23
19:49:39,15,0,12,4,3,37
19:49:40,15,0,7,1,6,39
19:49:40,15,5,4,4,15,24
19:49:41,15,0,10,3,11,49
19:49:41,15,4,25,7,8,29
19:49:42,15,0,13,2,2,36
19:49:43,15,0,9,5,10,42
19:49:43,15,0,9,5,4,28
19:49:44,15,0,11,4,3,32
19:49:45,15,0,5,5,5,32
19:49:45,15,0,22,6,5,34
19:49:46,15,2,10,5,16,35
19:49:46,15,1,17,6,7,29
19:49:47,15,0,11,5,6,30
19:49:48,15,0,12,3,1,19
19:49:48,15,0,8,6,0,27
19:49:49,15,0,15,2,2,27
19:49:50,15,0,15,4,1,51
19:49:50,15,0,15,4,4,41
19:49:51,15,2,12,11,6,41
19:49:52,15,2,9,4,11,27
19:49:52,15,5,16,6,3,20
19:49:53,15,0,12,1,6,32
19:49:53,15,0,18,1,2,33
19:49:54,15,0,11,4,6,48
19:49:55,15,4,23,6,9,27
19:49:55,15,0,17,7,5,44
19:49:56,15,0,5,4,3,40
19:49:57,15,2,9,4,6,18
19:49:57,15,1,6,5,8,30
19:49:58,15,0,18,6,4,51
19:49:58,15,0,11,7,4,46
19:49:59,15,0,28,1,6,37
19:50:00,15,0,10,4,7,39
19:50:00,15,0,15,6,3,40
19:50:01,15,0,8,1,4,28
19:50:02,15,0,4,4,1,39
19:50:02,15,0,18,5,11,45
19:50:03,15,0,13,2,5,43
19:50:03,15,0,24,5,8,28
19:50:04,15,0,11,5,3,29
19:50:05,15,0,9,4,1,25
19:50:05,15,0,14,4,4,34
19:50:06,15,0,8,2,7,31
19:50:07,15,0,7,2,4,59
19:50:07,15,0,16,7,3,44
19:50:08,15,0,15,4,4,52
19:50:09,15,0,9,3,6,36
19:50:09,15,0,15,4,2,28
19:50:10,15,0,4,4,5,44
19:50:10,15,6,16,9,4,26
19:50:11,15,0,26,5,10,35
19:50:12,15,0,8,2,4,50
19:50:12,15,0,5,2,10,41
19:50:13,15,0,10,3,10,42
19:50:14,15,0,9,2,9,24
19:50:14,15,0,10,6,4,32
19:50:15,15,0,12,5,11,38
19:50:16,15,3,19,11,3,39
19:50:16,15,0,14,2,5,43
19:50:17,15,0,16,2,0,27
19:50:17,15,0,8,4,4,41
19:50:18,15,0,8,2,1,27
19:50:19,15,0,7,2,5,20
19:50:19,15,0,17,6,3,46
19:50:20,15,0,11,8,8,48
19:50:20,15,0,16,5,11,37
19:50:21,15,0,12,7,2,39
19:50:22,15,0,12,6,5,34
19:50:22,15,0,6,2,3,24
19:50:23,15,0,5,3,6,23
19:50:24,15,0,18,4,3,46
19:50:24,15,0,21,4,6,35
19:50:25,15,2,12,9,4,34
19:50:26,15,0,9,10,1,39
19:50:26,15,0,10,2,3,23
19:50:27,15,5,9,5,6,18
19:50:27,15,0,12,3,4,17
19:50:28,15,0,19,2,3,50
19:50:29,15,2,19,6,14,34
19:50:29,15,0,15,7,6,46
19:50:30,15,0,10,5,1,41
19:50:31,15,7,8,10,8,29
19:50:31,15,0,4,1,9,32
19:50:32,15,0,6,5,1,35
19:50:32,15,0,33,5,4,36
19:50:33,15,0,19,2,5,38
19:50:34,15,0,24,4,4,27
19:50:34,15,0,8,5,9,39
19:50:35,15,0,10,4,10,28
19:50:36,15,0,4,3,3,28
19:50:36,15,0,11,4,6,26
19:50:37,15,0,26,3,1,46
19:50:38,15,0,13,4,4,42
19:50:38,15,0,10,5,6,43
19:50:39,15,0,13,3,3,46
19:50:39,15,0,11,3,3,24
19:50:40,15,0,3,1,2,20
19:50:41,15,5,19,4,18,25
19:50:41,15,0,18,8,2,33
19:50:42,15,0,14,6,7,41
19:50:43,15,0,15,4,3,26
19:50:43,15,0,6,3,4,40
19:50:44,15,0,6,4,11,32
19:50:45,15,0,10,4,5,32
19:50:45,15,0,25,2,2,37
19:50:46,15,0,17,3,3,43
19:50:46,15,0,18,3,7,46
19:50:47,15,0,19,1,4,27
19:50:48,15,0,14,3,4,26
19:50:48,15,0,6,4,3,41
19:50:49,15,0,8,5,6,27
19:50:50,15,0,22,3,3,42
19:50:50,15,0,16,5,6,37
19:50:51,15,0,16,7,7,38
19:50:51,15,0,12,4,7,27
19:50:52,15,0,4,2,2,40
19:50:53,15,0,9,2,3,34
19:50:53,15,0,8,3,3,40
19:50:54,15,0,28,1,2,33
19:50:55,15,0,18,5,2,24
19:50:55,15,3,15,8,5,31
19:50:56,15,5,19,8,4,27
19:50:56,15,0,8,2,4,44
