time,signal,drowsiness,delta,theta,alpha,beta
19:41:49,15,0,22,1,12,36
19:41:49,15,0,10,1,6,40
19:41:50,15,0,13,1,8,23
19:41:51,15,0,8,2,2,49
19:41:51,15,0,9,2,2,41
19:41:52,15,0,3,3,6,33
19:41:53,15,1,18,7,7,36
19:41:53,15,0,28,5,3,29
19:41:54,15,3,19,7,12,31
19:41:55,15,0,11,3,3,36
19:41:55,15,0,7,5,4,28
19:41:56,15,0,5,2,7,32
19:41:56,15,0,5,2,5,35
19:41:57,15,0,19,4,11,34
19:41:58,15,0,8,3,9,57
19:41:58,15,0,10,3,3,39
19:41:59,15,0,7,3,15,33
19:42:00,15,0,5,2,12,32
19:42:00,15,0,3,2,4,39
19:42:01,15,0,18,4,5,40
19:42:01,15,0,13,1,3,48
19:42:02,15,0,13,3,6,45
19:42:03,15,0,14,1,5,45
19:42:03,15,0,7,7,6,43
19:42:04,15,1,6,5,14,35
19:42:05,15,3,4,3,17,27
19:42:05,15,3,21,3,14,24
19:42:06,15,3,38,5,12,27
19:42:06,15,0,11,2,5,38
19:42:07,15,0,17,3,13,33
19:42:08,15,1,8,9,1,35
19:42:08,15,1,8,4,7,24
19:42:09,15,0,4,1,0,24
19:42:10,15,0,19,9,3,36
19:42:10,15,0,27,5,7,29
19:42:11,15,0,11,2,8,49
19:42:11,15,0,13,5,4,37
19:42:12,15,3,7,2,17,25
19:42:13,15,0,9,4,6,34
19:42:13,15,0,3,7,2,29
19:42:14,15,0,20,5,7,38
19:42:15,15,0,13,3,15,41
19:42:15,15,0,10,6,7,38
19:42:16,15,1,12,7,11,40
19:42:17,15,0,6,7,4,41
19:42:17,15,0,7,4,9,30
19:42:18,15,0,3,1,10,28
19:42:18,15,0,17,1,5,55
19:42:19,15,2,24,7,7,30
19:42:20,15,3,10,7,13,35
19:42:20,15,0,7,2,3,48
19:42:21,15,0,8,2,6,23
19:42:22,15,0,6,3,6,24
19:42:22,15,0,7,2,4,32
19:42:23,15,0,28,3,4,24
19:42:24,15,0,14,4,10,29
19:42:24,15,0,13,3,11,30
19:42:25,15,0,9,7,2,35
19:42:25,15,0,8,3,7,23
19:42:26,15,0,9,3,2,20
19:42:27,15,0,18,3,1,31
19:42:27,15,0,19,2,1,33
19:42:28,15,7,28,5,5,15
19:42:29,15,0,20,2,3,24
19:42:29,15,0,11,1,2,23
19:42:30,15,0,15,2,5,44
19:42:30,15,0,5,2,5,19
19:42:31,15,4,15,8,11,33
19:42:32,15,0,29,4,3,24
19:42:32,15,0,12,3,7,43
19:42:33,15,0,19,2,3,14
19:42:34,15,0,4,4,6,42
19:42:34,15,0,10,6,1,23
19:42:35,15,0,6,6,7,34
19:42:35,15,0,22,3,6,39
19:42:36,15,4,25,8,9,30
19:42:37,15,0,14,4,3,39
19:42:37,15,0,18,1,3,39
19:42:38,15,0,14,4,8,32
19:42:39,15,20,10,12,7,18
19:42:39,15,10,7,8,6,19
19:42:40,15,0,16,2,3,49
19:42:41,15,0,16,2,7,44
19:42:41,15,3,12,8,7,32
19:42:42,15,0,14,2,7,35
19:42:42,15,0,14,5,1,29
19:42:43,15,0,6,1,3,33
19:42:44,15,0,11,4,6,36
19:42:44,15,0,25,4,7,32
19:42:45,15,4,28,4,16,27
19:42:46,15,0,20,4,5,34
19:42:46,15,0,15,2,3,32
19:42:47,15,0,6,7,4,51
19:42:47,15,0,11,3,3,22
19:42:48,15,0,12,3,8,38
19:42:49,15,0,28,2,4,30
19:42:49,15,0,24,2,5,32
19:42:50,15,0,19,4,1,27
19:42:51,15,0,14,4,8,36
19:42:51,15,0,6,4,5,37
19:42:52,15,0,10,3,7,30
19:42:53,15,0,14,2,10,44
19:42:53,15,0,11,2,4,46
19:42:54,15,0,14,7,13,42
19:42:54,15,0,19,3,8,31
19:42:55,15,0,4,3,6,33
19:42:56,15,5,9,8,6,25
19:42:56,15,0,3,3,2,26
19:42:57,15,0,19,5,3,45
19:42:58,15,0,15,1,2,41
19:42:58,15,0,14,5,1,40
19:42:59,15,0,5,3,7,51
19:42:59,15,12,11,13,5,27
19:43:00,15,0,6,2,5,43
19:43:01,15,0,7,4,8,30
19:43:01,15,0,23,4,6,36
19:43:02,15,0,9,7,12,42
19:43:03,15,0,14,4,6,41
19:43:03,15,0,10,6,3,36
19:43:04,15,0,11,5,4,31
19:43:04,15,0,4,1,3,43
19:43:05,15,0,3,4,7,45
19:43:06,15,0,13,4,4,50
19:43:06,15,0,22,1,5,45
19:43:07,15,0,10,1,2,48
19:43:08,15,5,11,8,6,26
19:43:08,15,0,8,4,4,36
19:43:09,15,0,6,3,5,31
19:43:09,15,0,7,3,5,41
19:43:10,15,0,17,2,5,36
19:43:11,15,0,16,6,3,37
19:43:11,15,0,21,4,12,30
19:43:12,15,1,10,4,10,26
19:43:13,15,0,9,5,7,30
19:43:13,15,0,5,2,3,34
19:43:14,15,0,13,2,4,31
19:43:15,15,0,26,2,2,34
19:43:15,15,0,14,5,3,41
19:43:16,15,0,18,4,4,21
19:43:16,15,5,21,4,6,15
19:43:17,15,1,10,2,4,13
19:43:18,15,0,6,2,2,23
19:43:18,15,0,28,3,3,30
19:43:19,15,0,12,7,2,46
19:43:20,15,0,15,1,7,33
19:43:20,15,0,8,1,9,30
19:43:21,15,0,10,4,7,36
19:43:21,15,0,4,3,6,37
19:43:22,15,0,4,1,6,36
19:43:23,15,0,28,3,4,35
19:43:23,15,0,13,2,8,43
19:43:24,15,0,15,2,4,30
19:43:25,15,0,11,5,5,45
19:43:25,15,0,7,4,11,39
19:43:26,15,0,10,4,8,43
19:43:27,15,0,8,5,10,31
19:43:27,15,0,19,3,10,44
19:43:28,15,0,20,2,2,35
19:43:28,15,0,13,7,3,47
19:43:29,15,0,23,2,2,18
19:43:30,15,0,3,3,5,30
19:43:30,15,2,8,3,8,21
19:43:31,15,0,7,3,2,26
19:43:32,15,0,39,3,5,23
19:43:32,15,0,20,4,3,27
19:43:33,15,0,19,5,3,34
19:43:33,15,0,14,1,3,21
19:43:34,15,0,10,4,7,27
19:43:35,15,0,11,6,4,30
19:43:35,15,0,15,4,7,32
19:43:36,15,0,20,4,4,38
19:43:37,15,0,10,3,4,45
19:43:37,15,0,13,4,2,43
