timestamp,channel,sample_idx,value_uv
23:04:59.521,0013,0,-959.025
23:04:59.521,0013,1,-449.825
23:04:59.521,0013,2,763.8
23:04:59.521,0013,3,-972.325
23:04:59.521,0013,4,-972.325
23:04:59.521,0013,5,-844.55
23:04:59.521,0013,6,23.275
23:04:59.521,0013,7,-115.9
23:04:59.521,0013,8,-350.55
23:04:59.521,0013,9,-886.825
23:04:59.521,0013,10,302.575
23:04:59.521,0013,11,857.375
23:04:59.524,0013,0,-959.025
23:04:59.524,0013,1,-449.825
23:04:59.524,0013,2,763.8
23:04:59.524,0013,3,-972.325
23:04:59.524,0013,4,-971.375
23:04:59.524,0013,5,-445.55
23:04:59.524,0013,6,555.75
23:04:59.524,0013,7,741.95
23:04:59.524,0013,8,-121.6
23:04:59.524,0013,9,867.825
23:04:59.524,0013,10,312.55
23:04:59.524,0013,11,534.85
23:04:59.582,0013,0,-959.025
23:04:59.582,0013,1,-449.825
23:04:59.582,0013,2,763.8
23:04:59.582,0013,3,-972.325
23:04:59.582,0013,4,-972.325
23:04:59.582,0013,5,-841.225
23:04:59.582,0013,6,-819.85
23:04:59.582,0013,7,-837.9
23:04:59.582,0013,8,-280.25
23:04:59.582,0013,9,-930.05
23:04:59.582,0013,10,548.15
23:04:59.582,0013,11,143.45
23:04:59.627,0013,0,-959.025
23:04:59.627,0013,1,-449.825
23:04:59.627,0013,2,763.8
23:04:59.627,0013,3,-972.325
23:04:59.627,0013,4,-970.9
23:04:59.627,0013,5,-114.475
23:04:59.627,0013,6,156.75
23:04:59.627,0013,7,505.4
23:04:59.627,0013,8,-584.725
23:04:59.627,0013,9,-822.7
23:04:59.627,0013,10,972.325
23:04:59.627,0013,11,150.575
23:04:59.688,0013,0,-959.025
23:04:59.688,0013,1,-328.225
23:04:59.688,0013,2,763.8
23:04:59.688,0013,3,-972.325
23:04:59.688,0013,4,-972.325
23:04:59.688,0013,5,-837.425
23:04:59.688,0013,6,239.875
23:04:59.688,0013,7,123.975
23:04:59.688,0013,8,538.65
23:04:59.688,0013,9,-937.175
23:04:59.688,0013,10,-911.525
23:04:59.688,0013,11,512.05
23:04:59.761,0013,0,-959.025
23:04:59.761,0013,1,-328.225
23:04:59.761,0013,2,763.8
23:04:59.761,0013,3,-972.325
23:04:59.761,0013,4,-970.9
23:04:59.761,0013,5,-113.525
23:04:59.761,0013,6,-584.725
23:04:59.761,0013,7,130.15
23:04:59.761,0013,8,676.875
23:04:59.761,0013,9,-870.2
23:04:59.761,0013,10,963.3
23:04:59.761,0013,11,28.975
23:04:59.794,0013,0,-959.025
23:04:59.794,0013,1,-328.225
23:04:59.794,0013,2,763.8
23:04:59.794,0013,3,-972.325
23:04:59.794,0013,4,-972.325
23:04:59.794,0013,5,-834.575
23:04:59.794,0013,6,674.5
23:04:59.794,0013,7,-112.1
