Time,Signal,Drowsiness,Delta,Theta,Alpha,Beta
22:38:38,5,0
22:38:39,5,0
22:38:40,5,0
22:38:40,5,0
22:38:41,5,0
22:38:41,5,0
22:38:42,5,0
22:38:43,5,0
22:38:43,5,0
22:38:44,5,0
22:38:45,5,0
22:38:45,5,0
22:38:46,5,0
22:38:47,5,0
22:38:47,5,0
22:38:48,5,0
22:38:48,5,0
22:38:49,5,0
22:38:50,5,0
22:38:50,5,0
22:38:51,5,0
22:38:52,5,0
22:38:52,5,0
22:38:53,5,0
22:38:54,5,0
22:38:54,5,0
22:38:55,5,0
22:38:55,5,0
22:38:56,5,0
22:38:57,5,0
22:38:57,5,0
22:38:58,5,0
22:38:59,5,0
22:38:59,5,0
22:39:00,5,0
22:39:00,5,0
22:39:01,5,0
22:39:02,5,0
22:39:02,5,0
22:39:03,5,0
22:39:03,5,0
22:39:04,5,0
22:39:05,5,0
22:39:05,5,0
22:39:06,5,0
22:39:07,5,0
22:39:07,5,0
22:39:08,5,0
22:39:09,5,0
22:39:09,5,0
22:39:10,5,0
22:39:10,5,0
22:39:11,5,0
22:39:12,5,0
22:39:12,5,0
22:39:13,5,0
22:39:14,5,0
22:39:14,5,0
22:39:15,5,0
22:39:15,5,0
22:39:16,5,0
22:39:17,5,0
22:39:17,5,0
22:39:18,5,0
22:39:19,5,0
22:39:19,5,0
22:39:20,5,0
22:39:21,5,0
22:39:21,5,0
22:39:22,5,0
22:39:22,5,0
22:39:23,5,0
22:39:24,5,0
22:39:24,5,0
22:39:25,5,0
22:39:26,5,0
22:39:26,5,0
22:39:27,5,0
22:39:27,5,0
22:39:28,5,0
22:39:29,5,0
22:39:29,5,0
22:39:30,5,0
22:39:31,5,0
22:39:31,5,0
22:39:32,5,0
22:39:32,5,0
22:39:33,5,0
22:39:34,5,0
22:39:34,5,0
22:39:35,5,0
22:39:36,5,0
22:39:36,5,0
22:39:37,5,0
22:39:38,5,0
22:39:38,5,0
22:39:39,5,0
22:39:39,5,0
22:39:40,5,0
22:39:41,5,0
22:39:41,5,0
22:39:42,5,0
22:39:43,5,0
22:39:43,5,0
22:39:44,5,0
22:39:44,5,0
22:39:45,5,0
22:39:46,5,0
22:39:46,5,0
22:39:47,5,0
22:39:48,5,0
22:39:48,5,0
22:39:49,5,0
22:39:50,5,0
22:39:50,5,0
22:39:51,5,0
22:39:51,5,0
22:39:52,5,0
22:39:53,5,0
22:39:53,5,0
22:39:54,5,0
22:39:54,5,0
22:39:55,5,0
22:39:56,5,0
22:39:56,5,0
22:39:57,5,0
22:39:58,5,0
22:39:58,5,0
22:39:59,5,0
22:40:00,5,0
22:40:00,5,0
22:40:01,5,0
22:40:01,5,0
22:40:02,5,0
22:40:03,5,0
22:40:03,5,0
22:40:04,5,0
22:40:04,5,0
