time,signal,drowsiness,delta,theta,alpha,beta
23:04:44,15,0,7,6,5,82
23:04:45,15,0,10,10,11,69
23:04:45,15,0,26,4,9,61
23:04:46,15,0,27,2,9,62
23:04:47,15,0,27,7,7,59
23:04:47,15,0,23,2,13,62
23:04:48,15,0,28,2,5,65
23:04:48,15,3,35,9,14,42
23:04:49,15,0,15,11,6,68
23:04:50,15,6,28,13,14,45
23:04:50,15,0,25,3,6,66
23:04:51,15,0,45,4,3,48
23:04:52,15,0,27,3,3,67
23:04:52,15,0,27,13,3,57
23:04:53,15,1,20,9,18,53
23:04:54,15,0,15,12,11,62
23:04:54,15,0,22,2,2,74
23:04:55,15,0,27,2,7,64
23:04:56,15,0,23,7,12,58
23:04:56,15,0,9,8,17,66
23:04:57,15,0,13,6,23,58
23:04:57,15,1,9,15,10,66
23:04:58,15,0,13,4,4,79
23:04:59,15,0,18,3,7,72
23:04:59,15,0,13,3,5,79
23:05:00,15,0,17,4,14,65
23:05:01,15,0,32,8,9,51
23:05:01,15,2,29,9,15,47
23:05:02,15,0,32,9,9,50
23:05:02,15,0,15,6,16,63
23:05:03,15,0,37,2,6,55
23:05:04,15,2,22,10,17,51
23:05:04,15,0,47,2,11,40
23:05:05,15,2,17,16,7,60
23:05:06,15,0,34,2,22,42
23:05:06,15,3,11,4,35,50
23:05:07,15,9,16,17,19,48
23:05:07,15,0,28,7,5,60
23:05:08,15,8,36,7,25,32
23:05:09,15,0,19,13,9,59
23:05:09,15,0,40,8,9,43
23:05:10,15,0,25,11,4,60
23:05:11,15,0,15,6,8,71
23:05:11,15,0,27,7,9,57
23:05:12,15,0,32,12,3,53
23:05:12,15,3,33,12,10,45
23:05:13,15,1,23,10,15,52
23:05:14,15,0,21,9,10,60
23:05:14,15,7,14,21,9,56
23:05:15,15,0,27,12,7,54
23:05:16,15,0,16,7,5,72
23:05:16,15,0,37,6,13,44
23:05:17,15,0,36,6,5,53
23:05:17,15,0,21,7,15,57
23:05:18,15,0,13,8,5,74
23:05:19,15,0,36,4,4,56
23:05:19,15,0,21,5,14,60
23:05:20,15,0,38,7,11,44
23:05:21,15,0,39,4,7,50
23:05:21,15,1,56,2,15,27
23:05:22,15,1,25,8,17,50
23:05:23,15,0,50,7,6,37
